Editorial,ISSN,eISSN,Título,Tipo,Descuento,Promotor
Cambridge,2057-5637,2057-5645,European Journal of International Security,Híbrida,100,Biblioteca US
Cambridge,1867-299X,2190-8249,European Journal of Risk Regulation,Híbrida,100,Biblioteca US
Cambridge,0003-9756,1474-0583,European Journal of Sociology / Archives Européennes de Sociologie,Híbrida,100,Biblioteca US
Cambridge,,2752-6135,European Law Open,Sólo Open Access,100,Biblioteca US
Cambridge,1755-7739,1755-7747,European Political Science Review,Sólo Open Access,100,Biblioteca US
Cambridge,0924-9338,1778-3585,European Psychiatry,Sólo Open Access,100,Biblioteca US
Cambridge,1062-7987,1474-0575,European Review,Híbrida,100,Biblioteca US
Cambridge,,2513-843X,Evolutionary Human Sciences,Sólo Open Access,100,Biblioteca US
Cambridge,0014-4797,1469-4441,Experimental Agriculture ,Híbrida,100,Biblioteca US
Cambridge,,1462-3994,Expert Reviews in Molecular Medicine,Sólo Open Access,100,Biblioteca US
Cambridge,,2059-5999,Finance and Society,Sólo Open Access,100,Biblioteca US
Cambridge,0968-5650,1474-0052,Financial History Review,Híbrida,100,Biblioteca US
Cambridge,,2633-4259,Flow: Applications of Fluid Mechanics,Sólo Open Access,100,Biblioteca US
Cambridge,,2050-5086,"Forum of Mathematics, Pi",Sólo Open Access,100,Biblioteca US
Cambridge,,2050-5094,"Forum of Mathematics, Sigma",Sólo Open Access,100,Biblioteca US
Cambridge,,2755-385X,Geo-Bio Interfaces,Sólo Open Access,100,Biblioteca US
Cambridge,0016-7568,1469-5081,Geological Magazine ,Sólo Open Access,100,Biblioteca US
Cambridge,,2071-8322,German Law Journal ,Sólo Open Access,100,Biblioteca US
Cambridge,0017-0895,1469-509X,Glasgow Mathematical Journal,Híbrida,100,Biblioteca US
Cambridge,2045-3817,2045-3825,Global Constitutionalism,Sólo Open Access,100,Biblioteca US
Cambridge,,2059-4798,Global Sustainability,Sólo Open Access,100,Biblioteca US
Cambridge,0017-257X,1477-7053,Government and Opposition,Híbrida,100,Biblioteca US
Cambridge,0017-3835,1477-4550,Greece & Rome,Híbrida,100,Biblioteca US
Cambridge,,2632-2897,Gut Microbiome,Sólo Open Access,100,Biblioteca US
Cambridge,0017-8160,1475-4517,Harvard Theological Review,Híbrida,100,Biblioteca US
Cambridge,1744-1331,1744-134X,"Health Economics, Policy and Law",Híbrida,100,Biblioteca US
Cambridge,2051-5367,2051-5375,Hegel Bulletin,Híbrida,100,Biblioteca US
Cambridge,2095-4719,2052-3289,High Power Laser Science and Engineering ,Sólo Open Access,100,Biblioteca US
Cambridge,0018-246X,1469-5103,Historical Journal,Híbrida,100,Biblioteca US
Cambridge,0361-5413,1558-2744,History in Africa,Híbrida,100,Biblioteca US
Cambridge,0018-2680,1748-5959,History of Education Quarterly,Híbrida,100,Biblioteca US
Cambridge,0360-9669,2050-8557,Horizons,Híbrida,100,Biblioteca US
Cambridge,0887-5367,1527-2001,Hypatia,Híbrida,100,Biblioteca US
Cambridge,1754-9426,1754-9434,Industrial and Organizational Psychology,Híbrida,100,Biblioteca US
Cambridge,0899-823X,1559-6834,Infection Control & Hospital Epidemiology,Híbrida,100,Biblioteca US
Cambridge,1744-5523,1744-5531,International  Journal of Law in Context,Híbrida,100,Biblioteca US
Cambridge,0020-5893,1471-6895,International & Comparative Law Quarterly,Híbrida,100,Biblioteca US
Cambridge,0003-4452,2398-676X,International Annals of Criminology,Híbrida,100,Biblioteca US
Cambridge,1479-5914,1479-5922,International Journal of Asian Studies,Sólo Open Access,100,Biblioteca US
Cambridge,1473-5504,1475-3006,International Journal of Astrobiology,Sólo Open Access,100,Biblioteca US
Cambridge,0940-7391,1465-7317,International Journal of Cultural Property,Híbrida,100,Biblioteca US
Cambridge,0731-1265,2331-4117,International Journal of Legal Information,Híbrida,100,Biblioteca US
Cambridge,1759-0787,1759-0795,International Journal of Microwave and Wireless Technologies,Híbrida,100,Biblioteca US
Cambridge,0020-7438,1471-6380,International Journal of Middle East Studies,Híbrida,100,Biblioteca US
Cambridge,0266-4623,1471-6348,International Journal of Technology Assessment in Health Care,Sólo Open Access,100,Biblioteca US
Cambridge,0147-5479,1471-6445,International Labor and Working-Class History,Híbrida,100,Biblioteca US
Cambridge,0020-7829,1930-6571,International Legal Materials,Híbrida,100,Biblioteca US
Cambridge,0020-8183,1531-5088,International Organization,Híbrida,100,Biblioteca US
Cambridge,1041-6102,1741-203X,International Psychogeriatrics  ,Híbrida,100,Biblioteca US
Cambridge,0020-8590,1469-512X,International Review of Social History,Híbrida,100,Biblioteca US
Cambridge,1816-3831,1607-5889,International Review of the Red Cross,Híbrida,100,Biblioteca US
Cambridge,1752-9719,1752-9727,International Theory,Sólo Open Access,100,Biblioteca US
Cambridge,1939-7291,1939-747X,Invasive Plant Science and Management,Híbrida,100,Biblioteca US
Cambridge,0021-0862,1475-4819,Iranian Studies,Híbrida,100,Biblioteca US
Cambridge,0021-0889,2053-4744,IRAQ,Híbrida,100,Biblioteca US
Cambridge,0021-1214,2056-4139,Irish Historical Studies,Híbrida,100,Biblioteca US
Cambridge,0790-9667,2051-6967,Irish Journal of Psychological Medicine,Híbrida,100,Biblioteca US
Cambridge,0021-2237,2047-9336,Israel Law Review,Híbrida,100,Biblioteca US
Cambridge,0048-8402,2057-4908,Italian Political Science Review / Rivista Italiana di Scienza Politica,Híbrida,100,Biblioteca US
Cambridge,0165-1153,2041-2827,Itinerario,Híbrida,100,Biblioteca US
